frame,timestamp_s,motion_score,changed_pct,motion_level
478,15.933,6.094,7.522,Medium
479,15.967,6.286,7.822,Medium
480,16.000,8.256,10.658,Medium
481,16.033,6.567,8.213,Medium
482,16.067,6.926,8.660,Medium
483,16.100,8.921,11.427,Medium
484,16.133,7.004,8.818,Medium
485,16.167,7.236,8.951,Medium
486,16.200,9.395,12.245,Medium
487,16.233,7.788,9.896,Medium
488,16.267,7.959,10.122,Medium
489,16.300,10.215,13.413,Medium
490,16.333,8.149,10.540,Medium
491,16.367,8.279,10.711,Medium
492,16.400,10.525,13.848,Medium
493,16.433,8.179,10.611,Medium
494,16.467,8.247,10.589,Medium
495,16.500,10.560,13.717,Medium
496,16.533,8.269,10.703,Medium
497,16.567,8.577,10.821,Medium
498,16.600,10.500,13.589,Medium
499,16.633,8.322,10.518,Medium
500,16.667,8.478,10.753,Medium
501,16.700,10.399,13.546,Medium
502,16.733,8.170,10.261,Medium
503,16.767,8.182,10.301,Medium
504,16.800,10.288,13.309,Medium
505,16.833,8.300,10.415,Medium
506,16.867,8.269,10.381,Medium
507,16.900,10.491,13.747,Medium
508,16.933,8.384,10.603,Medium
509,16.967,8.436,10.575,Medium
510,17.000,10.334,13.409,Medium
511,17.033,8.329,10.617,Medium
512,17.067,8.380,10.745,Medium
513,17.100,10.225,13.576,Medium
514,17.133,8.013,10.480,Medium
515,17.167,8.143,10.501,Medium
516,17.200,9.797,13.077,Medium
517,17.233,7.622,9.727,Medium
518,17.267,7.450,9.561,Medium
519,17.300,9.485,12.429,Medium
520,17.333,7.702,9.879,Medium
521,17.367,7.454,9.614,Medium
522,17.400,9.393,12.501,Medium
523,17.433,7.520,9.646,Medium
524,17.467,7.653,9.838,Medium
525,17.500,9.931,13.299,Medium
526,17.533,7.755,10.139,Medium
527,17.567,7.701,9.841,Medium
528,17.600,9.498,12.600,Medium
529,17.633,7.706,9.825,Medium
530,17.667,7.825,10.093,Medium
531,17.700,10.098,13.306,Medium
532,17.733,8.168,10.787,Medium
533,17.767,8.425,11.089,Medium
534,17.800,10.305,13.800,Medium
535,17.833,8.321,10.937,Medium
536,17.867,8.178,10.838,Medium
537,17.900,10.273,13.947,Medium
538,17.933,8.055,10.673,Medium
539,17.967,8.135,10.806,Medium
540,18.000,10.331,13.946,Medium
541,18.033,7.872,10.356,Medium
542,18.067,7.939,10.291,Medium
543,18.100,9.944,13.171,Medium
544,18.133,7.787,10.020,Medium
545,18.167,7.910,10.000,Medium
546,18.200,9.941,13.229,Medium
547,18.233,7.668,9.800,Medium
548,18.267,7.771,9.827,Medium
549,18.300,9.549,12.619,Medium
550,18.333,7.348,9.225,Medium
551,18.367,7.569,9.419,Medium
