frame,timestamp_s,motion_score,changed_pct,motion_level
420,17.500,51.222,59.288,High
421,17.542,2.855,0.993,Low
422,17.583,1.464,1.167,Low
423,17.625,1.526,0.549,Low
424,17.667,3.156,0.970,Low
425,17.708,3.106,0.966,Low
426,17.750,3.471,1.450,Low
427,17.792,4.365,1.640,Low
428,17.833,5.238,2.287,Medium
429,17.875,6.144,3.608,Medium
430,17.917,6.775,5.411,Medium
431,17.958,7.708,6.450,Medium
432,18.000,8.105,7.528,Medium
433,18.042,8.167,8.989,Medium
434,18.083,10.664,11.383,Medium
435,18.125,9.744,11.089,Medium
436,18.167,11.033,12.266,Medium
437,18.208,67.160,67.034,High
438,18.250,3.974,1.624,Low
439,18.292,4.338,2.082,Low
440,18.333,4.891,2.576,Low
441,18.375,4.913,2.550,Low
442,18.417,5.209,2.789,Medium
443,18.458,5.046,2.178,Medium
444,18.500,4.837,1.681,Low
445,18.542,4.891,2.123,Low
446,18.583,5.746,3.269,Medium
447,18.625,5.859,3.415,Medium
448,18.667,5.535,3.157,Medium
449,18.708,5.435,3.329,Medium
450,18.750,5.512,2.887,Medium
451,18.792,5.183,2.212,Medium
452,18.833,5.667,2.857,Medium
453,18.875,5.896,3.331,Medium
454,18.917,6.075,3.820,Medium
455,18.958,5.551,3.483,Medium
456,19.000,5.825,3.727,Medium
457,19.042,60.270,68.049,High
458,19.083,18.062,22.232,High
459,19.125,22.344,32.639,High
460,19.167,17.044,19.105,High
461,19.208,23.030,29.283,High
462,19.250,26.633,33.147,High
463,19.292,20.984,26.443,High
464,19.333,21.639,27.082,High
465,19.375,24.007,30.828,High
466,19.417,17.803,23.877,High
467,19.458,20.057,25.701,High
468,19.500,18.865,22.267,High
469,19.542,15.976,18.387,High
470,19.583,16.187,19.828,High
471,19.625,18.120,23.381,High
472,19.667,15.100,19.271,High
473,19.708,18.658,23.669,High
474,19.750,18.763,22.429,High
475,19.792,22.348,27.234,High
476,19.833,22.598,27.842,High
477,19.875,22.863,29.753,High
478,19.917,19.976,25.497,High
479,19.958,17.958,23.287,High
480,20.000,23.204,28.525,High
481,20.042,27.762,35.757,High
482,20.083,26.909,32.831,High
483,20.125,27.877,34.043,High
484,20.167,24.690,29.619,High
485,20.208,22.565,27.253,High
486,20.250,22.399,30.263,High
487,20.292,19.591,27.017,High
488,20.333,20.602,29.269,High
489,20.375,27.143,37.665,High
490,20.417,21.918,28.543,High
491,20.458,22.456,33.194,High
492,20.500,29.312,38.596,High
493,20.542,29.895,40.665,High
494,20.583,27.541,37.962,High
495,20.625,25.958,35.767,High
496,20.667,28.878,38.842,High
497,20.708,29.264,42.567,High
498,20.750,27.566,39.966,High
499,20.792,29.279,41.781,High
500,20.833,32.697,45.314,High
501,20.875,31.842,44.743,High
502,20.917,31.210,43.538,High
503,20.958,28.772,40.876,High
504,21.000,27.685,40.357,High
505,21.042,32.087,47.652,High
506,21.083,29.628,42.384,High
507,21.125,28.226,39.730,High
508,21.167,27.574,38.345,High
509,21.208,27.838,40.584,High
510,21.250,26.420,37.805,High
511,21.292,25.475,36.879,High
512,21.333,27.662,40.730,High
513,21.375,30.359,42.502,High
514,21.417,28.755,41.551,High
515,21.458,32.413,45.185,High
516,21.500,34.938,50.070,High
517,21.542,34.154,48.588,High
518,21.583,36.482,50.887,High
519,21.625,38.458,55.409,High
520,21.667,64.387,82.044,High
521,21.708,43.390,65.545,High
522,21.750,20.792,33.981,High
523,21.792,3.705,4.186,Low
524,21.833,6.914,9.435,Medium
525,21.875,30.022,45.040,High
526,21.917,41.579,59.790,High
527,21.958,46.021,71.135,High
528,22.000,42.983,78.517,High
529,22.042,24.799,30.421,High
530,22.083,16.198,18.796,High
531,22.125,27.812,36.063,High
532,22.167,10.719,11.887,Medium
533,22.208,12.509,15.414,Medium
534,22.250,11.109,14.290,Medium
535,22.292,9.810,11.851,Medium
536,22.333,5.424,2.027,Medium
537,22.375,3.666,0.066,Low
538,22.417,3.467,0.000,Low
539,22.458,0.127,0.000,Low
540,22.500,0.036,0.000,Low
541,22.542,0.037,0.000,Low
542,22.583,0.042,0.000,Low
543,22.625,0.036,0.000,Low
544,22.667,0.198,0.000,Low
545,22.708,0.081,0.000,Low
546,22.750,0.054,0.000,Low
547,22.792,0.102,0.000,Low
548,22.833,0.076,0.000,Low
549,22.875,0.041,0.000,Low
550,22.917,0.132,0.000,Low
551,22.958,0.126,0.000,Low
552,23.000,0.106,0.000,Low
553,23.042,0.077,0.000,Low
554,23.083,0.054,0.000,Low
555,23.125,0.047,0.000,Low
556,23.167,0.146,0.000,Low
557,23.208,0.084,0.000,Low
558,23.250,0.067,0.000,Low
559,23.292,0.154,0.000,Low
560,23.333,0.145,0.000,Low
561,23.375,0.070,0.000,Low
562,23.417,0.110,0.000,Low
563,23.458,0.090,0.000,Low
564,23.500,0.069,0.000,Low
565,23.542,0.131,0.000,Low
566,23.583,0.101,0.000,Low
567,23.625,2.682,2.016,Low
568,23.667,9.881,7.015,Medium
569,23.708,17.402,15.693,High
570,23.750,37.856,28.574,High
571,23.792,25.341,21.730,High
572,23.833,0.214,0.000,Low
573,23.875,0.235,0.000,Low
574,23.917,0.232,0.000,Low
575,23.958,0.221,0.000,Low
576,24.000,0.580,0.002,Low
577,24.042,0.263,0.000,Low
578,24.083,0.235,0.000,Low
579,24.125,0.247,0.000,Low
580,24.167,0.301,0.000,Low
581,24.208,0.245,0.000,Low
582,24.250,0.241,0.000,Low
583,24.292,0.350,0.000,Low
584,24.333,0.292,0.000,Low
585,24.375,4.903,2.775,Low
586,24.417,0.338,0.000,Low
587,24.458,0.298,0.000,Low
588,24.500,0.278,0.000,Low
589,24.542,0.453,0.000,Low
590,24.583,0.398,0.000,Low
591,24.625,0.345,0.000,Low
592,24.667,0.363,0.000,Low
593,24.708,0.346,0.000,Low
594,24.750,0.322,0.000,Low
595,24.792,0.373,0.000,Low
596,24.833,0.335,0.000,Low
597,24.875,0.311,0.000,Low
598,24.917,0.416,0.000,Low
599,24.958,0.366,0.000,Low
600,25.000,110.108,84.960,High
601,25.042,0.129,0.000,Low
602,25.083,0.110,0.000,Low
603,25.125,0.106,0.000,Low
604,25.167,0.123,0.000,Low
605,25.208,0.115,0.000,Low
606,25.250,0.101,0.000,Low
607,25.292,2.333,2.004,Low
608,25.333,0.179,0.000,Low
609,25.375,0.090,0.000,Low
610,25.417,6.498,6.954,Medium
611,25.458,0.114,0.000,Low
612,25.500,0.092,0.000,Low
613,25.542,30.006,34.822,High
614,25.583,0.094,0.000,Low
615,25.625,0.089,0.000,Low
616,25.667,11.883,14.050,Medium
617,25.708,0.118,0.000,Low
618,25.750,0.123,0.000,Low
619,25.792,7.227,8.333,Medium
620,25.833,0.146,0.000,Low
621,25.875,0.132,0.000,Low
622,25.917,7.433,8.689,Medium
623,25.958,0.146,0.000,Low
624,26.000,0.581,0.000,Low
625,26.042,0.167,0.000,Low
626,26.083,0.155,0.000,Low
627,26.125,0.131,0.000,Low
628,26.167,0.122,0.000,Low
629,26.208,0.095,0.000,Low
630,26.250,0.086,0.000,Low
631,26.292,0.109,0.000,Low
632,26.333,92.888,79.227,High
633,26.375,74.090,71.018,High
634,26.417,0.018,0.000,Low
635,26.458,0.007,0.000,Low
636,26.500,12.887,16.074,Medium
637,26.542,0.668,0.000,Low
638,26.583,5.100,5.874,Medium
639,26.625,0.572,0.000,Low
640,26.667,9.491,12.031,Medium
641,26.708,87.672,75.726,High
642,26.750,1.899,0.000,Low
643,26.792,1.893,0.000,Low
644,26.833,6.395,5.984,Medium
645,26.875,1.828,0.000,Low
646,26.917,1.763,0.001,Low
647,26.958,4.007,3.093,Low
648,27.000,1.783,0.017,Low
649,27.042,1.723,0.000,Low
650,27.083,6.070,5.568,Medium
651,27.125,1.871,0.000,Low
652,27.167,1.880,0.000,Low
653,27.208,4.051,3.035,Low
654,27.250,2.218,0.021,Low
655,27.292,1.932,0.015,Low
656,27.333,6.303,5.769,Medium
657,27.375,2.177,0.049,Low
658,27.417,1.937,0.031,Low
659,27.458,3.930,2.239,Low
660,27.500,1.911,0.021,Low
661,27.542,1.793,0.008,Low
662,27.583,5.794,4.860,Medium
663,27.625,1.841,0.010,Low
664,27.667,1.686,0.001,Low
665,27.708,5.661,4.894,Medium
666,27.750,1.691,0.000,Low
667,27.792,1.511,0.000,Low
668,27.833,3.526,2.278,Low
669,27.875,1.526,0.000,Low
670,27.917,3.353,2.323,Low
671,27.958,1.392,0.000,Low
672,28.000,5.286,4.692,Medium
673,28.042,1.399,0.000,Low
674,28.083,1.341,0.000,Low
675,28.125,3.093,2.071,Low
676,28.167,99.014,81.928,High
677,28.208,7.640,8.381,Medium
678,28.250,1.577,0.015,Low
679,28.292,5.481,5.406,Medium
680,28.333,8.459,10.007,Medium
681,28.375,4.643,3.751,Low
682,28.417,13.160,14.888,Medium
683,28.458,2.135,0.206,Low
684,28.500,16.141,18.007,High
685,28.542,5.729,5.849,Medium
686,28.583,27.229,28.327,High
687,28.625,5.839,5.957,Medium
688,28.667,17.306,20.768,High
689,28.708,23.064,26.106,High
690,28.750,8.549,9.483,Medium
691,28.792,3.070,0.781,Low
692,28.833,18.786,22.352,High
693,28.875,7.613,9.214,Medium
694,28.917,12.213,14.963,Medium
695,28.958,7.141,7.773,Medium
696,29.000,16.132,20.309,High
697,29.042,4.721,3.178,Low
698,29.083,21.667,26.047,High
699,29.125,5.291,4.404,Medium
700,29.167,15.447,18.448,High
701,29.208,4.389,3.268,Low
702,29.250,8.780,10.361,Medium
703,29.292,10.647,13.237,Medium
704,29.333,4.733,3.441,Low
705,29.375,7.173,8.547,Medium
706,29.417,3.323,1.494,Low
707,29.458,2.944,1.224,Low
708,29.500,3.980,3.155,Low
709,29.542,4.422,3.591,Low
710,29.583,6.444,7.070,Medium
711,29.625,5.214,4.002,Medium
712,29.667,4.975,4.908,Low
713,29.708,7.931,9.934,Medium
714,29.750,12.984,17.388,Medium
715,29.792,0.133,0.000,Low
716,29.833,1.187,0.713,Low
717,29.875,1.561,0.611,Low
718,29.917,1.227,0.000,Low
719,29.958,66.478,57.836,High
720,30.000,12.420,3.113,Medium
721,30.042,10.879,4.035,Medium
722,30.083,11.238,4.867,Medium
723,30.125,10.956,5.420,Medium
724,30.167,11.863,11.455,Medium
725,30.208,24.744,27.141,High
726,30.250,7.458,1.171,Medium
727,30.292,23.410,24.684,High
728,30.333,7.443,4.607,Medium
729,30.375,17.693,18.073,High
730,30.417,10.167,11.329,Medium
731,30.458,21.516,22.065,High
732,30.500,13.748,16.096,Medium
733,30.542,20.546,21.819,High
734,30.583,5.485,5.034,Medium
735,30.625,28.196,28.022,High
736,30.667,16.456,19.188,High
737,30.708,6.687,6.495,Medium
738,30.750,30.699,28.381,High
739,30.792,16.978,17.816,High
740,30.833,78.161,56.409,High
741,30.875,75.145,56.257,High
742,30.917,14.553,19.325,Medium
743,30.958,107.996,66.183,High
744,31.000,2.614,1.264,Low
745,31.042,76.298,52.132,High
746,31.083,41.448,32.105,High
747,31.125,58.055,44.844,High
748,31.167,37.140,30.658,High
749,31.208,38.293,36.265,High
